FOODID;FOODNAME;LANG
611;Sour milk, 0.8% fat, 0.5 ug vitamin d;EN
612;Sour milk, 1 ug vitamin d;EN
613;Sour milk, butter milk, 0.3% fat, 1 ug vitamin d;EN
615;Sour cream, 10-12% fat;EN
616;Sour milk, acidophilus, 2.5% fat, 1 ug vitamin d, probiotics;EN
617;Curd milk, plain, 3.5% fat;EN
618;Curd milk, plain, 2% fat;EN
619;Yoghurt, plain, 2.5% fat, low-lactose;EN
622;Quark, <0.5% fat;EN
627;Milk, 1% fat, 1 ug added vitamin d;EN
628;Creme fraiche, 28% fat;EN
629;Whipping cream, 38% fat, low-lactose, ultra-heat-treated;EN
630;Sour cream, 40% fat;EN
631;Whipping cream, 38% fat;EN
632;Cooking cream, 19% fat;EN
633;Cream, low-fat, 1o% fat, low-lactose;EN
635;Cottage cheese, fat-free, low-lactose;EN
636;Curd milk, flavoured with jam, 1% fat, low-lactose;EN
637;Yoghurt, plain, fat-free, low-lactose, 0.5 ug vitamin d;EN
639;Yoghurt, flavoured, fat-free;EN
640;Cheese, white mould cheese, camembert/brie, 26-30% fat;EN
641;Cheese, turunmaa/oltermanni, 30% fat;EN
642;Cheese, emmental, 27-30% fat, red-label;EN
643;Cheese, hard cheese, edam type, 24-27% fat;EN
644;Cheese, semi-hard cheese, edam/kadett, 9-11% fat;EN
645;Cheese, hard cheese, goat cheese, 20-25% fat;EN
647;Processed cheese, 20-24% fat;EN
648;Processed cheese, 27-35% fat;EN
649;Cottage cheese, 2-5% fat;EN
650;Cheese, home-made fresh cheese, 9-14% fat;EN
653;Cheese, blue cheese, aura/danazole, average, 27-30% fat;EN
654;Cheese, gouda/salaneuvos, average, 28-30% fat;EN
655;Cheese, semi-hard cheese, lappi/småland/billinge/rustholli, 25-35% fat;EN
657;Cheese, finnish oven cheese, 17-23% fat;EN
658;Cream cheese, 36-44% fat, kasakka/musta-pekka;EN
659;Processed cheese, 9-12% fat, low-fat;EN
661;Soft ice cream with wafer;EN
663;Ice cream, cream based;EN
664;Ice cream bar, cream based, chocolate-coated;EN
665;Ice cream cornet, cream based;EN
666;Ice cream, milk based;EN
667;Ice cream, artificially sweetened, 6.5% fat;EN
668;Ice cream, cream based, >12% fat;EN
669;Ice cream, fat-free;EN
672;Milk powder, fat-free milk;EN
675;Milk, 1.5% fat, low-lactose, 1 ug added vitamin d;EN
680;Curd milk, plain, 1% fat;EN
682;Cream cheese, 30% fat, flavoured, creme bonjour/cantadou;EN
684;Milk, 1.5% fat, 1 ug added vitamin d;EN
685;Yoghurt, flavoured, fat-free, partially artifially sweetened;EN
686;Yoghurt, flavoured, 7% fat;EN
687;Yoghurt, fat 6-8%, for food preparation;EN
689;Milk, 3.5% fat, 1 ug added vitamin d;EN
690;Cheese, feta type salad cheese in brine, 18% fat;EN
691;Cheese, emmental, 27-30% fat, blue-label;EN
698;Cheese, cheddar type, 34% fat;EN
699;Cooking cream, vegetable fat, 15% fat;EN
701;Pork, medium fat;EN
703;Pork chop, thick layer of fat;EN
704;Ham, fatty;EN
705;Pork shoulder;EN
706;Pork ribs;EN
707;Bacon;EN
708;Fatback;EN
709;Pork knuckle, ham hock;EN
711;Pork beef mince;EN
712;Lean steak mince, 7% fat;EN
713;Pork, average;EN
714;Beef, average;EN
716;Beef, medium fat, 13% fat;EN
718;Beef round;EN
719;Beef chuck, beef shoulder;EN
720;Beef knuckle;EN
721;Beef brisket;EN
722;Beef sirloin;EN
723;Beef flank;EN
726;Veal roast, raw;EN
730;Lamb, low-fat;EN
731;Lamb;EN
732;Lamb roast;EN
734;Reindeer;EN
735;Elk;EN
736;Hare;EN
737;Rabbit;EN
741;Beef, canned;EN
743;Pork and beef, canned;EN
747;Beef jelly;EN
748;Pork roast, lean;EN
750;Chicken;EN
751;Chicken with skin;EN
752;Turkey with skin;EN
753;Game bird;EN
754;Chicken strips;EN
775;Ham, smoked, 6% fat;EN
776;Beef, cured, 2.8% fat;EN
779;Ham, cooked ham, 3% fat;EN
786;Liver, beef;EN
787;Liver, pork;EN
788;Liver, chicken;EN
789;Liver, reindeer;EN
790;Liver, average;EN
791;Kidney;EN
792;Heart, beef;EN
793;Tongue, beef;EN
794;Blood;EN
797;Reindeer, cold smoked;EN
799;Ham, cooked ham, low-fat, 3% fat;EN
800;Baltic herring;EN
801;Baltic herring, salted;EN
802;Baltic herring, smoked;EN
803;Herring, salted;EN
804;Cod;EN
805;Zander, pike-perch;EN
806;Redfish, smoked;EN
807;Halibut, smoked;EN
809;Vendace, lake;EN
810;Vendace, salted lake fish;EN
811;Vendace, smoked lake fish;EN
812;Perch;EN
813;Pike;EN
814;Bream;EN
815;Powan, whitefish, pollan, lavaret;EN
816;Powan, smoked;EN
817;Salmon, whole;EN
818;Salmon, salt-cured;EN
819;Burbot;EN
820;Flounder;EN
821;Eel;EN
822;Rainbow trout, whole, average;EN
823;Trout;EN
824;Fish, average, baltic herring/vendace/perch/pike;EN
825;Lamprey, smoked;EN
826;Saithe, frozen;EN
828;Tuna, in oil, canned;EN
829;Anchovy;EN
830;Salmon in oil, canned;EN
831;Sardine, average, in oil and tomato sauce;EN
832;Caviar, dark roe of sturgeon;EN
833;Roe paste;EN
834;Mussel in water, canned;EN
835;Shrimp;EN
836;Crayfish;EN
837;Herring, pickled/salted, average;EN
838;Baltic herring, pickled/salted, average;EN
844;Bream, smoked;EN
845;Roach;EN
846;Redfish, rosefish, frozen;EN
848;Rainbow trout sea, fillet;EN
851;Egg yolk, 34% of egg mass;EN
852;Egg white, 66% of egg mass;EN
855;Egg, quail, raw;EN
856;Fish, low-fat, average, smoked;EN
857;Fish, fatty, smoked;EN
858;Egg without shell;EN
