FOODID;FOODNAME;FOODTYPE;PROCESS;EDPORT;IGCLASS;IGCLASSP;FUCLASS;FUCLASSP
33030;Makaronilaatikko, liha-makaronilaatikko, kartanon, lidl, valmisateria;DISH;BAK;100;DISH;NONINGR;PASTAADD;CEBAKTOT
33031;Maksalaatikko, kartanon, lidl, valmisateria;DISH;IND;100;DISH;NONINGR;MEATCASS;MEATDTOT
33032;Veriohukainen, atria/kartanon, lidl;DISH;BAK;100;DISH;NONINGR;OFFALDI;MEATDTOT
33033;Pinaattiohukainen, kartanon, lidl;DISH;BAK;100;DISH;NONINGR;VEGDISH;VEGDITOT
33034;Hampurilainen, valmishampurilainen, pihvi ja sämpylä, mcennedy, lidl;DISH;MIX;100;DISH;NONINGR;SANDWICH;CEBAKTOT
33035;Hampurilainen, valmishampurilainen, juustohampurilainen, mcennedy, lidl;DISH;MIX;100;DISH;NONINGR;SANDWICH;CEBAKTOT
33036;Papupihvi/pyörykkä;DISH;BAK;100;DISH;NONINGR;VEGDISH;VEGDITOT
33038;Sharon, kaki, persimon;FOOD;RAW;100;FRUITOTH;FRUITTOT;FRUFRESH;FRUDITOT
33040;Naudanliha, keitetty, suolaton;DISH;BOIL;100;DISH;NONINGR;MSTEAK;MEATDTOT
33042;Jogurtti, maustamaton, a+, rasvaa 4 %, laktoositon, d-vit 1 ug;FOOD;IND;100;SMILK;MILKTOT;YOGHURT;MILKDTOT
33043;Sieni-kaalikääryle;DISH;BAK;100;DISH;NONINGR;MUSHRDI;VEGDITOT
33044;Sienipihvi/pyörykkä, lihaton;DISH;FRIE;100;DISH;NONINGR;MUSHRDI;VEGDITOT
33045;Maksakastike, maksastroganoff;DISH;BOIL;100;DISH;NONINGR;OFFALDI;MEATDTOT
33046;Maksapasteija, maksapatee;DISH;BAK;100;DISH;NONINGR;OFFALDI;MEATDTOT
33047;Ruoanvalmistuskerma, kasvirasvakerma, rasvaa 13 %, vl;FOOD;IND;100;CREAM;MILKTOT;MILKHF;MILKDTOT
33048;Ruoanvalmistuskerma, kasvirasvakerma, rasvaa 7 %;FOOD;IND;100;CREAM;MILKTOT;MILKHF;MILKDTOT
33049;Ruoanvalmistuskerma, kasvirasvakerma, rasvaa 4 %;FOOD;IND;100;CREAM;MILKTOT;MILKHF;MILKDTOT
33050;Vanukas, riisi-marjavanukas, kotitekoinen;DISH;BOIL;100;DISH;NONINGR;PORR;CEBAKTOT
33055;Uuniperuna, kalatäyte, savusilakka, ranskankerma;DISH;MIX;100;DISH;NONINGR;FISHDOTH;FISHDTOT
33056;Uuniperuna, kinkkutäyte, tuorejuusto;DISH;MIX;100;DISH;NONINGR;SAUSDISH;MEATDTOT
33057;Uuniperuna, savukinkkutäyte, tuorejuusto, sieni;DISH;MIX;100;DISH;NONINGR;SAUSDISH;MEATDTOT
33059;Sekaleipä, viljaisat perheviipaleet, oululainen;DISH;BAK;100;DISH;NONINGR;BRMIX;CEBAKTOT
33060;Papaija, kuivattu;FOOD;DRIE;100;FRUITOTH;FRUITTOT;SNACK;MISCTOT
33061;Broilerifilee, keitetty, suolaton;DISH;BOIL;100;DISH;NONINGR;POULTDI;MEATDTOT
33062;Kana, keitetty, suolaton;DISH;BOIL;100;DISH;NONINGR;POULTDI;MEATDTOT
33063;Risotto, broileri-kasvisrisotto;DISH;BOIL;100;DISH;NONINGR;POULTDI;MEATDTOT
33064;Pilahviriisi, lihaliemessä;DISH;BOIL;100;DISH;NONINGR;RICEADD;CEBAKTOT
33065;Mango, kuivattu;FOOD;DRIE;100;FRUITOTH;FRUITTOT;SNACK;MISCTOT
33066;Vehnätortilla, burrito, wrap, tonnikalatäyte;DISH;MIX;100;DISH;NONINGR;SANDWICH;CEBAKTOT
33067;Erikoishedelmä, eksoottinen, keskiarvo, mango/papaija, kuivattu;FOOD;DRIE;100;FRUITOTH;FRUITTOT;SNACK;MISCTOT
33068;Lihahyytelö, kotitekoinen;DISH;BOIL;100;DISH;NONINGR;SAUSAGE;MEATDTOT
33069;Popcorn;DISH;IND;100;DISH;NONINGR;SNACK;MISCTOT
33070;Viikuna, kuivattu;FOOD;DRIE;100;FRUITOTH;FRUITTOT;SNACK;MISCTOT
33072;Jauhelihakeitto, saarioinen, valmisateria;DISH;BOIL;100;DISH;NONINGR;MEATSOUP;MEATDTOT
33073;Katkarapukeitto, saarioinen, valmisateria;DISH;BOIL;100;DISH;NONINGR;FISHSOUP;FISHDTOT
33074;Porkkanasosekeitto, saarioinen, valmisateria;DISH;BOIL;100;DISH;NONINGR;VEGSOUP;VEGDITOT
33075;Savuporo-juustokeitto, saarioinen, valmisateria;DISH;BOIL;100;DISH;NONINGR;MEATSOUP;MEATDTOT
33077;Ananas, kuivattu;FOOD;DRIE;100;FRUITOTH;FRUITTOT;SNACK;MISCTOT
33079;Broilerpasta, saarioinen, valmisateria;DISH;BAK;100;DISH;NONINGR;PASTAADD;CEBAKTOT
33080;Lasagne, kasvislasagne, saarioinen, valmisateria;DISH;BAK;100;DISH;NONINGR;VEGCASS;VEGDITOT
33083;Lasagne, saarioinen, valmisateria;DISH;BAK;100;DISH;NONINGR;PASTAADD;CEBAKTOT
33084;Spagetti ja jauhelihakastike, saarioinen, valmisateria;DISH;BAK;100;DISH;NONINGR;PASTAADD;CEBAKTOT
33085;Tonnikalapasta, saarioinen, valmisateria;DISH;BAK;100;DISH;NONINGR;FISHDOTH;FISHDTOT
