FOODID;FOODNAME;LANG
568;Margariini 60%, rainbow/pirkka/eldorado/k-menu;FI
570;Rasvaseos 40%, kevyt levi vl;FI
572;(arc) margariini 40%, lätta;FI
576;Voi, suolaton;FI
578;Majoneesi, rasvaa 27-33 %;FI
579;Salaatinkastike, rasvaa <17%, vähärasvainen;FI
585;Voi, voimakassuolainen;FI
586;Rasvaseos 80%, voimakassuolainen;FI
593;Leivontamargariini 80%, pirkka/rainbow;FI
597;Rasvaseoslevite 75 %, tuotekeskiarvo;FI
598;Voiöljy 100%, maitorasvaa;FI
599;(arc) kasvirasvalevite 32%, benecol kevyt;FI
600;Maito, tilamaito, raakamaito, rasvaa 4,4 %, ei lisätty d-vitamiinia;FI
602;Ternimaito;FI
604;Maito, kutunmaito, vuohenmaito;FI
606;Maito, rasvaton, d-vitamiinia 1 ug;FI
611;Piimä, talouspiimä, rasvaa 0,8 %, d-vit 0,5 ug;FI
612;Piimä, rasvaton, d-vit 1 ug;FI
613;Piimä, kirnupiimä, rasvaa 0,3 %, d-vit 1 ug;FI
615;Kermaviili, rasvaa 10-12 %;FI
616;Piimä, asidofiluspiimä, rasvaa 2,5 %, d-vit 1 ug, probiootteja;FI
617;Viili, maustamaton, rasvaa 3,5 %;FI
618;Viili, maustamaton, kevytviili, rasvaa 2 %;FI
619;Jogurtti, maustamaton, rasvaa 2,5 %, vl;FI
622;Rahka, maitorahka, maustamaton, rasvaa <0,5 %;FI
627;Maito, ykkösmaito, d-vitamiinia 1ug;FI
628;Creme fraiche, ranskankerma, rasvaa 28 %;FI
629;Kerma, vispikerma, rasvaa 38 % ,vl, iskukuumennettu;FI
630;Smetana, rasvaa n. 40 %;FI
631;Kerma, kuohukerma, rasvaa 38 %;FI
632;Ruoanvalmistuskerma, rasvaa 19 %, kahvikerma;FI
633;Kerma, kahvikerma, kevyt, rasvaa 10 %, vl;FI
635;Raejuusto, rasvaton, vl;FI
636;Viili, kerrosviili, maustettu hillolla, ykkösviili, rasvaa 1 %, vl;FI
637;Jogurtti, maustamaton, rasvaton, vl, d-vit 0,5 ug;FI
639;Jogurtti, maustettu, rasvaton;FI
640;Juusto, valkohomejuusto, rasvaa 26-30 %, camembert/brie;FI
641;Juusto, kermajuusto, rasvaa 30 %, turunmaa/oltermanni/korsholm/masurkka;FI
642;Juusto, emmentaljuusto, rasvaa 27-30 %, punaleima;FI
643;Juusto, kova pienikoloinen juusto, rasvaa 24-27 %, edam;FI
644;Juusto, puolikova juusto, rasvaa 9-11 %, kevyt, edam/kadett;FI
645;Juusto, kutunjuusto, vuohenjuusto, rasvaa 30 %, kova juusto;FI
647;Sulatejuusto, rasvaa 20-24 %, keskirasvainen;FI
648;Sulatejuusto, rasvaa 27-35 %, runsasrasvainen;FI
649;Raejuusto, rasvaa 2-5 %;FI
650;Tuorejuusto, kotijuusto, rasvaa 9-14 %, maalaisjuusto;FI
653;Juusto, sinihomejuusto, rasvaa 27-30 %, aura/danazole, keskiarvo;FI
654;Juusto, gouda/salaneuvos, keskiarvo, rasvaa 28-30 %;FI
655;Juusto, puolikova juusto, rasvaa 25-35 %, lappi/småland/billinge/rustholli;FI
657;Juusto, leipäjuusto, rasvaa 17-23 %;FI
658;Tuorejuusto, runsasrasvainen, mustapippurijuusto;FI
659;Sulatejuusto, rasvaa 9-12 %, vähärasvainen;FI
661;Jäätelö, pehmytjäätelö, vohveli;FI
663;Jäätelö, kermajäätelö;FI
664;Jäätelö, kermajäätelöpuikko, suklaakuorrute, keskiarvo;FI
665;Jäätelö, kermajäätelötuutti;FI
666;Jäätelö, maitojäätelö;FI
667;Jäätelö, sokeriton, keinotekoisesti makeutettu, rasvaa 6,5 %;FI
668;Jäätelö, kermajäätelö, rasvaa yli 12 %, keskiarvo;FI
669;Jäätelö, rasvaton;FI
672;Maitojauhe, rasvaton;FI
675;Maito, kevytmaito, vl, d-vitamiinia 1 ug;FI
680;Viili, maustamaton, rasvaa 1 %, ykkösviili;FI
682;Tuorejuusto, rasvaa 30 %, maustettu, creme bonjour/cantadou;FI
684;Maito, kevytmaito, d-vitamiinia 1 ug;FI
685;Jogurtti, maustettu, rasvaton, osittain keinotekoisesti makeutettu, ka.;FI
686;Jogurtti, maustettu, rasvaa 7 %;FI
687;Jogurtti, ruoanvalmistusjogurtti, rasvaa 6-8 %, vl;FI
689;Maito, täysmaito, d-vitamiinia 1 ug;FI
690;Juusto, salaattijuusto, rasvaa 18 %, lehmänmaito, suolaliemessä;FI
691;Juusto, emmentaljuusto, rasvaa 27-30 %, suurikoloinen, sinileima/gruyere;FI
698;Juusto, cheddar, rasvaa 34 %;FI
699;Ruoanvalmistuskerma, kasvirasvakerma, rasvaa 15 %;FI
701;Sianruho, keskirasvainen;FI
703;Siankyljys/selkä, paksu rasvakerros;FI
704;Siankinkku, silavoineen;FI
705;Sianlapa;FI
706;Siankylki;FI
707;Pekoni, 32 % rasvaa;FI
708;Sian selkäsilava;FI
709;Sianpotka;FI
711;Jauheliha, sika-nauta;FI
712;Jauheliha, naudan, vähärasvainen, rasvaa 7 %;FI
713;Sianliha, keskiarvo;FI
714;Naudanliha, rasvainen, keskiarvo;FI
716;Naudanruho, keskirasvainen, 13 % rasvaa;FI
718;Naudanpaisti;FI
719;Naudanlapa/etuselkä, naudan keittoliha;FI
720;Naudanpotka;FI
721;Naudanrinta;FI
722;Naudanfilee, ulkofilee;FI
723;Naudankylki;FI
726;Vasikanpaisti;FI
730;Lampaanliha, vähärasvainen;FI
731;Lampaanliha, rasvainen;FI
732;Lampaanpaisti;FI
734;Poronliha;FI
735;Hirvenliha;FI
736;Jänis;FI
737;Kani;FI
741;Lihasäilyke, naudanliha;FI
743;Lihasäilyke, sika-nauta;FI
747;Lihahyytelö;FI
748;Sianpaisti, vähärasvainen;FI
750;Kana;FI
751;Broileri, kokonainen, nahkoineen, raaka;FI
752;Kalkkuna nahkoineen;FI
753;Metsälintu;FI
754;Broilerisuikale;FI
775;Kokolihaleikkele, saunapalvikinkku, rasvaa 6 %;FI
776;Kokolihaleikkele, naudanlihaleikkele, rasvaa 2,8 %;FI
779;Kokolihaleikkele, keittokinkku, rasvaa 3 %;FI
786;Maksa, naudan;FI
787;Maksa, sian;FI
788;Maksa, broilerin;FI
789;Maksa, poron;FI
790;Maksa, keskiarvo;FI
791;Munuainen;FI
792;Sydän, naudan;FI
793;Kieli, naudan;FI
794;Veri;FI
797;Kokolihaleikkele, poroleikkele, kylmäsavustettu;FI
799;Kokolihaleikkele, kinkkuleikkele, vähärasvainen, rasvaa 3 %;FI
800;Silakka, tuore, itämeri;FI
801;Silakka, suolattu, itämeri;FI
802;Silakka, savustettu, itämeri;FI
803;Silli, tynnyriin suolattu;FI
804;Turska;FI
805;Kuha;FI
806;Puna-ahven, savustettu;FI
807;Sinipallas, savustettu;FI
809;Muikku, järvi;FI
810;Muikku, järvi, suolattu;FI
811;Muikku, järvi, savustettu;FI
812;Ahven;FI
813;Hauki;FI
814;Lahna;FI
815;Siika;FI
816;Siika, savustettu;FI
817;Lohi, kokonainen;FI
818;Lohi, tuoresuolattu;FI
819;Made;FI
820;Kampela;FI
821;Ankerias;FI
822;Kirjolohi, kokonainen, keskiarvo;FI
823;Taimen;FI
824;Kala, keskiarvo, silakka/muikku/ahven/hauki;FI
825;Nahkiainen, savustettu;FI
826;Seiti, pakaste;FI
828;Tonnikala, öljyssä, säilyke;FI
829;Anjovis;FI
830;Lohi, öljyssä;FI
831;Sardiini, keskiarvo, öljyssä ja tomaattikastikkeessa;FI
832;Kaviaari, sammen mäti;FI
833;Mätitahna;FI
834;Sinisimpukka, vedessä, säilyke;FI
835;Katkarapu;FI
836;Rapu;FI
837;Silli, mauste/suolasilli, keskiarvo;FI
838;Silakka, mauste/suolasilakka, keskiarvo;FI
844;Lahna, savustettu;FI
845;Särki;FI
846;Puna-ahven, punasimppu, pakaste;FI
848;Kirjolohifilee, meri;FI
851;Kananmunan keltuainen, 34 % kananmunan massasta;FI
852;Kananmunan valkuainen, 66 % kananmunan massasta;FI
855;Viiriäisen muna;FI
856;Kala, savustettu, keskiarvo, vähärasvainen;FI
857;Kala, savustettu, keskiarvo, rasvainen;FI
858;Kananmuna, kuoreton;FI
859;Silli, valkosipuli-/sinappikastikkeessa;FI
860;Silakka, tilli-/sinappikastikkeessa;FI
862;Tonnikala;FI
863;Osteri;FI
864;Etana;FI
865;Mustekala;FI
866;Hummeri;FI
870;Kirjolohifilee, tuoresuolattu;FI
871;Lohifilee;FI
900;Kahvi, kahvijuoma, keskiarvo;FI
901;Tee;FI
902;Olut, keskiolut, 4,5 til% alkoholia;FI
903;Olut, a-olut, 5-5,5 til% alkoholia;FI
904;Viini, keskiarvo, 8-15 til% alkoholia;FI
905;Väkevä viini, makea, katkero, sherry, vermutti, madeira, hedelmäviini;FI
906;Viina, kirkas, vodka, gini;FI
907;Konjakki/rommi/viski, 40 til% alkoholia;FI
908;Likööri, 20-30 til% alkoholia;FI
909;Gin long drink, 5,5 til%;FI
910;Virvoitusjuoma;FI
911;Siideri, makea, <3 til% alkoholia;FI
912;Sima;FI
913;Olut, i-olut, <2,8 til% alkoholia;FI
914;Kalja, kotiolut;FI
915;Kivennäisvesi, mineraalivesi;FI
917;Tee, sitruunateejuomajauhe, valmistamaton, sokerilla makeutettu pikatee;FI
920;Virvoitusjuoma, sokeriton, light;FI
921;Kivennäisvesi, vähänatriuminen;FI
922;Vesi, vesijohtovesi;FI
923;Tee, yrttitee;FI
924;Punaviini;FI
925;Valkoviini, kuiva;FI
926;Valkoviini, makea;FI
928;Virvoitusjuoma, kolajuoma, keskiarvo;FI
929;Viinietikka;FI
930;Kahvi, suodatinkahvijuoma;FI
931;Kahvi, pannukahvijuoma;FI
932;Kahvi, cappuccino, makeuttamaton, täysmaito;FI
933;Väkiviinaetikka;FI
934;Hunaja-omena-viinietikka;FI
936;Mieto viini, 4-5 til% alkoholia;FI
937;Tee, vihreä tee;FI
938;Virvoitusjuoma, osittain keinotekoisesti makeutettu;FI
939;Siideri, makea, 4,7 til% alkoholia;FI
940;Olut, vahva, 7,5-8 til% alkoholia;FI
941;Virvoitusjuoma, kolajuoma light, osittain keinotekoisesti makeutettu;FI
942;Kermalikööri, 15-17 til% alkoholia;FI
943;Tuoremehucampari, katkerodrinkki;FI
944;Irish coffee kahvijuoma, 8 til%;FI
945;Viiniglögi;FI
946;Tärkkelyssiirappi, glukoosisiirappi;FI
947;Bloody mary tomaattimehuvodka;FI
948;Rommikola;FI
949;Screwdriver, tuoremehuvodka;FI
950;Gin tonic, 4 til%;FI
951;Tom collins ginidrinkki;FI
952;Dry martini ginidrinkki;FI
953;Munatoti;FI
1000;Ruisvelli, vesi, ruisjauho, suolaa;FI
1001;Ruisvelli, mehu, ruisjauho, suolaa;FI
1002;Ruispuuro, vesi, ruisjauho, suolaa;FI
1003;Ruispuuro, maito, ruisjauho, suolaa;FI
1005;Ruis-perunapuuro, vesi, suolaa;FI
1006;Ruis-marjapuuro, vesi, puolukka, sokeri, suola;FI
1007;Ruispuuro, ruisjauho, puolukka, sokeriton, suolaa;FI
1009;Ruisleipä, perinteinen, vesi, täysjyväruisjauho;FI
1011;Sekaleipä, hapanimeläleipä, piimä, vehnä-, ruisjauho;FI
1013;Karjalanpiirakka, perinteinen, voideltu, riisi, ruisvehnäkuori;FI
1014;Perunapiirakka, ruiskuori;FI
1015;Marjapiirakka, rukiinen, marjasurvos, ruiskuori;FI
1017;Keitinpiirakka, riisi, muna, ruiskuori, sulhaspiirakka;FI
1022;Leipäpuuro, vesi, puolukka, mannasuurimo, ruisleipä, sokeria, suolaa;FI
1023;Mämmi;FI
1025;Ruisvelli, maito, ruishiutale, suolaa;FI
1026;Ruispuuro, vesi, ruishiutale, suolaa;FI
1027;Ruispuuro, maito, ruishiutale, suolaa;FI
1028;Neljänviljanvelli, maito, suolaa;FI
1030;Neljänviljanpuuro, maito, suolaa;FI
1031;Vehnätortilla, burrito, wrap, kasvistäyte;FI
1032;Kruskapuuro, rouhepuuro, rusina, vesi, suolaa;FI
1033;Vehnätortilla, burrito, wrap, jauhelihatäyte;FI
1035;Vehnätortilla, burrito, wrap, broileritäyte;FI
1036;Ruisleipä, ruista 51%;FI
1056;Vaalea leipä, pitaleipä;FI
1100;Vehnävelli, maito, vehnäjauho, sokeria, suolaa;FI
1101;Munavelli, maito, sokeria, suolaa;FI
1104;Vehnäpuuro, kevytmaito, vehnäjauho, sokeria, suolaa;FI
1107;Vaalea leipä, ranskanleipä, kevytmaito, vehnäjauho;FI
1108;Vaalea leipä, vehnäsämpylä, kevytmaito;FI
1111;Sekaleipä, rieska, kevytmaito, vehnä-, ruisjauho;FI
1132;Viineri, kevytmaito, runsasrasvainen, rasvaa 20 %;FI
1139;Munkki, kevytmaito, kotitekoinen;FI
1150;Sokeririnkeli, kevytmaito;FI
1160;Torttupohja, sokeriton;FI
1161;Marjapiirakka, pullapohja, kevytmaito;FI
1162;Marjapiirakka, pullapohja, rasvaton maito;FI
1163;Marjapiirakka, pullapohja, täysmaito;FI
1164;Hillopiirakka, pullapohja, kevytmaito;FI
1165;Hillopiirakka, pullapohja, rasvaton maito;FI
1170;Omenapiirakka, pullapohja, kevytmaito;FI
1173;Rahkapiirakka, pullapohja, kevytmaito;FI
1179;Marjapiirakka, muropohja;FI
1180;Marjapiirakka, muropohja, kermaviilitäyte;FI
1181;Hillopiirakka, muropohja;FI
1182;Raparperipiirakka, muropohja;FI
1183;Omenapiirakka, muropohja;FI
1184;Rahkapiirakka, muropohja;FI
1185;Omena-rahkapiirakka, muropohja;FI
1193;Kääretortun/täytekakun pohja, sokeriton;FI
1202;Kuivakakku, toscakakku;FI
1204;Täytekakku, marja-kermakakku;FI
1206;Täytekakku, kinuski-kermakakku;FI
1207;Täytekakku, kreemitäytekakku;FI
1208;Täytekakku, hedelmä-kermakakku, liivatekuorrutus;FI
1218;Porkkanapiirakka, voitaikina;FI
1220;Sienipiirakka, voitaikina;FI
1221;Kasvispiirakka, kasviksia, juustoa, muropohja;FI
1223;Ohukainen, kevytmaito;FI
1228;Blini, kevytmaito, ohrajauho;FI
1231;Pannukakku, kevytmaito;FI
1239;Maitokastike, valkokastike, kevytmaito, rasva-jauhosuurus;FI
1242;Maitokastike, valkokastike, kevytmaito, jauhosuurus;FI
1243;Vaalea kastike, lihaliemi, jauhosuurus;FI
1244;Ruskea kastike, rasva-jauhosuurus;FI
1245;Paistinkastike, kerma;FI
1246;Hollandaisekastike, rasva, keltuainen, vehnäjauho;FI
1247;Munakastike, kevytmaito, rasva-jauhosuurus;FI
1253;Vanukas, luumuvanukas;FI
1258;Köyhät ritarit, kevytmaito, ei kermaa, ei hilloa;FI
1262;Pappilan hätävara, kermaa, hilloa, pikkuleipää;FI
1265;Grahamvelli, maito, suolaa;FI
1266;Grahampuuro, vesi, suolaa;FI
1268;Graham-marjapuuro, vesi, puolukka, sokeri, suola;FI
1269;Sekaleipä, grahamleipä, kevytmaito, grahamjauho;FI
1270;Sekaleipä, grahamsämpylä, kevytmaito, graham-, vehnäjauho;FI
1276;Mannavelli, maito, suolaa;FI
1277;Mannapuuro, maito, suolaa;FI
1278;Mannapuuro, vispipuuro, puolukka;FI
1279;Mannapuuro, vispipuuro, puolukka, sokeriton, suolaa;FI
1280;Mannapuuro, vispipuuro, aprikoosi, sokeria, suolaton;FI
1281;Mannapuuro, maito, kaakaojauhe, sokeria, suolaton;FI
1283;Mannavelli, maito, tumma mannasuurimo, suolaa;FI
1284;Mannapuuro, vesi, tumma mannasuurimo, suolaa;FI
1285;Mannapuuro, maito, tumma mannasuurimo, suolaa;FI
1286;Vehnävelli, maito, vehnähiutale, suolaa;FI
1287;Vehnävelli, vesi, vehnähiutale, suolaa;FI
1288;Vehnäpuuro, maito, vehnähiutale, suolaa;FI
1289;Makaronivelli, maito, suolaa;FI
1290;Makaronipuuro, maito, suolaa;FI
1291;Makaronilaatikko, lihaton, kevytmaito;FI
1294;Makaroni, paistettu;FI
1295;Vaalea leipä, hiivaleipä, vesi, hiivaleipäjauho;FI
1297;Sekaleipä, piimälimppu, piimä, vehnä-, hiivaleipäjauho;FI
1298;Sekaleipä, porkkanasämpylä, kevytmaito, hiivaleipä-, sämpyläjauho;FI
1301;Sekaleipä, sämpylä, kevytmaito, sämpyläjauho;FI
1305;Marjapiirakka, muro/pullapohja, keskiarvo;FI
1307;Pulla, korvapuusti, runsasrasvainen, kevytmaito;FI
1309;Vaalea leipä, patonki/ranskanleipä, vesi, vehnäjauho, teollinen;FI
1320;Sekaleipä, tattarileipä, vesi, tattarijauho, luontaisesti gluteeniton;FI
1326;Kääretorttu, gluteeniton;FI
1330;Ruisleipä, ruishiivaleipä, vesi, ruis-, hiivaleipäjauho;FI
1331;Ruisleipä, ruis-, hiivaleipäjauho, teollinen;FI
1336;Sekaleipä, grahamleipä, vesi, hiivaleipä-, grahamjauho;FI
1337;Sekaleipä, grahamleipä, kevytmaito, hiivaleipä-, grahamjauho;FI
1338;Ruisleipä, ruisrouheleipä perunainen, ruispalat;FI
1340;Sekaleipä, siemenleipä, vesi, vehnäjauho, vehnärouhe, seesam/pellavansiemen;FI
1341;Sekaleipä, rouheleipä, vesi, vehnäjauho, ruis-, vehnärouhe, kaurahiutale;FI
1342;Ruisleipä, tumma täysjyväleipä vähäsuolainen;FI
1343;Marja-raparperipiirakka, pehmeä;FI
1344;Marjapiirakka, fruktoosilla makeutettu, pehmeä;FI
1347;Joulutorttu, luumutäyte;FI
1348;Mysli, hedelmäinen;FI
1370;Riisi, keitetty, suolaton;FI
1372;Makaroni, keitetty, suolaa;FI
1373;Pasta, spagetti, keitetty, suolaa;FI
1374;Makaroni, tumma, keitetty, suolaa;FI
